regime,regime_label,dataset,model,sim_f1_mean,real_f1_mean,delta_f1_mean,p_sim_vs_real_f1,sim_f1_ci_lo,sim_f1_ci_hi,real_f1_ci_lo,real_f1_ci_hi,sim_dr_at_5s_mean,real_dr_at_5s_mean,delta_dr_at_5s_mean,p_sim_vs_real_dr_at_5s,sim_dr_at_5s_ci_lo,sim_dr_at_5s_ci_hi,real_dr_at_5s_ci_lo,real_dr_at_5s_ci_hi,sim_add_s_mean,real_add_s_mean,delta_add_s_mean,p_sim_vs_real_add_s,sim_add_s_ci_lo,sim_add_s_ci_hi,real_add_s_ci_lo,real_add_s_ci_hi,sim_mtbfa_h_mean,real_mtbfa_h_mean,delta_mtbfa_h_mean,p_sim_vs_real_mtbfa_h,sim_mtbfa_h_ci_lo,sim_mtbfa_h_ci_hi,real_mtbfa_h_ci_lo,real_mtbfa_h_ci_hi
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),CNN,0.8439943756006659,0.5559562618943946,-0.2880381137062713,0.003032946684530904,0.7183076248951834,0.9696811263061484,0.5368219608759831,0.5750905629128061,0.8934497816593886,0.96,0.06655021834061137,0.4707803215402051,0.7092734265253485,1.0776261367934286,0.8489421957920882,1.0710578042079117,2.120241372692248,0.3376477909088138,-1.7825935817834344,0.2116815709351377,-0.9872181955563066,5.227700940940803,-0.34110880472262384,1.0164043865402514,0.02427247241606209,0.0035606327516682886,-0.020711839664393803,0.01412887693533926,0.010017745017908917,0.03852719981421526,0.003026441285170846,0.0040948242181657315
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),LSTM,0.8917351682708594,0.5467141780251843,-0.3450209902456751,9.084511090547201e-06,0.8801235963898664,0.9033467401518525,0.5078558025338255,0.5855725535165431,0.9353711790393012,0.9199999999999999,-0.015371179039301297,0.8527603293667696,0.9242591529629183,0.9464832051156842,0.6978843915841765,1.1421156084158235,1.2156611855519333,0.9471054553985597,-0.26855573015337353,0.6621721632041926,1.0857650657764175,1.345557305327449,-0.7194382915675958,2.6136492023647153,0.021095666773706896,0.004689894206400395,-0.0164057725673065,0.0007923088982036171,0.017423085114877807,0.024768248432535986,0.002927528771065201,0.006452259641735589
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),BiLSTM,0.7724546680505993,0.5447579298171619,-0.2276967382334374,0.0126921074641618,0.6316042578949083,0.9133050782062903,0.5278166852792805,0.5616991743550432,0.782532751091703,0.8400000000000001,0.05746724890829713,0.5629229613987098,0.599485217791724,0.9655802843916819,0.7289421957920883,0.9510578042079119,3.8425287176369993,2.311590194702149,-1.5309385229348504,0.4072661832867315,0.8522320368247258,6.832825398449273,0.4755415169018149,4.147638872502483,0.021766381239011156,0.0044451981057953135,-0.01732118313321584,0.0015967997188348028,0.01575263688601412,0.02778012559200819,0.003547410247542627,0.005342985964048
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),GRU,0.8904938176339707,0.4891420989887119,-0.4013517186452588,2.2873159636941476e-05,0.882525989884497,0.8984616453834444,0.4371679905854462,0.5411162073919776,0.9467248908296944,0.8800000000000001,-0.06672489082969424,0.2788064021967336,0.9294080489043248,0.9640417327550639,0.7439825238683491,1.0160174761316512,1.2160978667746405,3.1140349292755127,1.8979370625008722,0.1695220879255202,0.9819827707872617,1.4502129627620193,0.06619679879909812,6.161873059751928,0.020937562070142544,0.004274742050615233,-0.016662820019527312,4.88182309113386e-05,0.018676943210724075,0.023198180929561014,0.0036808563703593037,0.004868627730871163
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),CNN-LSTM,0.9025006266548431,0.5682568891606113,-0.33424373749423175,8.97224090270807e-06,0.8932875974389474,0.9117136558707388,0.5355423977556567,0.600971380565566,0.9580786026200873,0.96,0.0019213973799127038,0.9594087891315697,0.939851911727196,0.9763052935129786,0.8489421957920882,1.0710578042079117,0.8990672990890509,0.8317772769927982,-0.06729002209625268,0.7352404264301141,0.7797438382160256,1.0183907599620763,0.28852909346574895,1.3750254605198475,0.02042677613261355,0.004284629628377391,-0.01614214650423616,0.0001071017520024845,0.017609308189482857,0.02324424407574424,0.0039851878065772384,0.004584071450177543
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),TCN,0.6910560390257097,0.5308617893194066,-0.16019424970630303,0.0013310889646928267,0.6588961062863858,0.7232159717650335,0.5030818153383281,0.5586417633004852,0.7537117903930131,1.0,0.24628820960698694,0.00024712198606961105,0.6983371701462939,0.8090864106397322,1.0,1.0,4.675931314281163,0.3566744995117187,-4.319256814769444,0.0006360723771050235,3.7648202284639725,5.587042400098354,-0.012634233358413405,0.7259832323818508,0.04345734332206449,0.00580668718281877,-0.03765065613924572,8.882216948777584e-06,0.039866738529064714,0.04704794811506426,0.005401879970540807,0.006211494395096734
5ms_3000,"5 m/s, 3000 flights",ALFA (injected),Transformer,0.8034258959574748,0.5301884338676965,-0.2732374620897783,0.006346791263377464,0.6700266181709105,0.9368251737440392,0.5046519923945548,0.5557248753408383,0.9187772925764193,0.76,-0.15877729257641926,0.00030738993284610194,0.828161462203204,1.0093931229496347,0.6489421957920882,0.8710578042079118,1.4648299654533568,2.7579994082450865,1.2931694427917297,0.20921656007540645,0.19221901702790878,2.737440913878805,-0.2544144856219681,5.770413302112141,0.015530758759783655,0.004843733775047742,-0.010687024984735912,0.08063138099336853,0.004239650132756748,0.026821867386810562,0.00241550585424997,0.007271961695845515
5ms_600,"5 m/s, 600 flights",ALFA_matched,CNN,0.6498104228092615,0.517140234940997,-0.13267018786826446,0.0017727001825957336,0.5991092798602324,0.7005115657582905,0.5052364473913319,0.5290440224906622,0.632,0.96,0.32799999999999996,0.0016105633394646,0.6036857044603545,0.6603142955396455,0.8489421957920882,1.0710578042079117,6.278302025588153,0.5988225793838504,-5.679479446204303,0.0004730550159413803,4.792775841323519,7.763828209852787,0.04597750844845072,1.1516676503192502,0.011894274566453044,0.005507864957158033,-0.006386409609295011,0.000665740385250985,0.010370064481836248,0.01341848465106984,0.004610721665689891,0.0064050082486261746
5ms_600,"5 m/s, 600 flights",ALFA_matched,LSTM,0.6235606728032019,0.5208126230216008,-0.10274804978160113,0.009453042093162299,0.5757417111142781,0.6713796344921258,0.4815223598048802,0.5601028862383215,0.616,0.96,0.344,0.0009759365901089919,0.5682322322380003,0.6637677677619996,0.8489421957920882,1.0710578042079117,5.784424964098093,1.5651177215576175,-4.219307242540475,0.015861507760376953,4.48490425935115,7.083945668845037,-0.7540786840490847,3.88431412716432,0.015367361044678679,0.00462907277220252,-0.010738288272476158,0.003519024609194399,0.010840291375943844,0.019894430713413513,0.003996707685815233,0.005261437858589808
5ms_600,"5 m/s, 600 flights",ALFA_matched,BiLSTM,0.6604327669724991,0.5129002815252549,-0.14753248544724418,0.00011690372110101446,0.6364568450517628,0.6844086888932354,0.484282700697949,0.5415178623525608,0.5920000000000001,0.8800000000000001,0.28800000000000003,0.0057627329814288935,0.5375930095473396,0.6464069904526606,0.7439825238683491,1.0160174761316512,6.351763547051869,1.6253295803070074,-4.726433966744861,0.004255713818117475,5.683069792331702,7.020457301772035,-0.3013683488854322,3.552027509499447,0.015169889091092362,0.003937028794066218,-0.011232860297026144,0.00010881023246472982,0.013082709095031564,0.01725706908715316,0.003358761017509815,0.004515296570622621
5ms_600,"5 m/s, 600 flights",ALFA_matched,GRU,0.6909862708954699,0.5158471910266519,-0.17513907986881805,0.0419461988274338,0.5561166492207262,0.8258558925702136,0.47799954963863606,0.5536948324146678,0.668,0.8400000000000001,0.17200000000000004,0.12443803799694345,0.46579548489901207,0.8702045151009881,0.7289421957920883,0.9510578042079119,5.586979353977368,1.8557968974113472,-3.7311824565660205,0.07843593093011146,2.2107412522412475,8.963217455713488,-0.21410121280320782,3.9256950076259023,0.012748355190877012,0.004822812143107519,-0.007925543047769493,0.0005758388222106346,0.010645516062031558,0.014851194319722465,0.003916635940932654,0.005728988345282384
5ms_600,"5 m/s, 600 flights",ALFA_matched,CNN-LSTM,0.6607682178735532,0.5228682519906513,-0.13789996588290188,0.00045345100616844277,0.6346131082025083,0.6869233275445982,0.5107714682667084,0.5349650357145943,0.62,0.9199999999999999,0.29999999999999993,0.0017715543395243208,0.5617607961441969,0.678239203855803,0.7839825238683489,1.056017476131651,7.092066096517719,0.9705386638641365,-6.121527432653583,6.340061345936917e-05,6.380682824388429,7.803449368647009,0.26106398202756975,1.6800133457007032,0.01433009298031283,0.005299156680747262,-0.009030936299565568,0.0004957562933209202,0.011912722200350088,0.016747463760275572,0.00450307178413888,0.006095241577355644
5ms_600,"5 m/s, 600 flights",ALFA_matched,TCN,0.6529128313682355,0.5281294415960629,-0.12478338977217263,0.0003640917428067992,0.6284869258873957,0.6773387368490753,0.5023027529912248,0.553956130200901,0.576,0.68,0.10400000000000009,0.07529533515514783,0.5552229873263287,0.5967770126736712,0.5439825238683489,0.8160174761316512,7.883214564921492,1.938846936225892,-5.9443676286956,2.075236458808433e-06,7.086930842060461,8.679498287782524,1.4680334641842316,2.4096604082675523,0.01801005163207777,0.005635854838596469,-0.012374196793481302,0.0014370424242633,0.014299840127373654,0.021720263136781888,0.004763849351320479,0.006507860325872459
5ms_600,"5 m/s, 600 flights",ALFA_matched,Transformer,0.6809210677598777,0.49226651014575235,-0.18865455761412536,0.1488576296279706,0.47265444255639766,0.8891876929633578,0.40645526080408323,0.5780777594874215,0.776,0.64,-0.136,0.4279466453114843,0.5231147710632774,1.0288852289367227,0.36796504773669775,0.9120349522633022,4.064456215065478,4.877824537754059,0.8133683226885813,0.7867902501425719,-0.7315378873707354,8.86045031750169,1.3941061654480555,8.361542910060063,0.016531086687000093,0.00821206223724331,-0.008319024449756783,0.003213070386152024,0.010419623100426849,0.022642550273573335,0.005201277435057922,0.011222847039428697
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,CNN,0.5859188126409027,0.10100874855197609,-0.4849100640889267,0.00034023875080906767,0.5667579922328962,0.6050796330489092,-0.015724619333983655,0.21774211643793584,0.7120000000000001,0.0,-0.7120000000000001,9.554892177917856e-08,0.6897884391584177,0.7342115608415825,0.0,0.0,5.146216638327559,28.542381763458252,23.396165125130693,0.05754654931423185,3.459320462589033,6.833112814066085,6.585976779308133,50.49878674760837,0.009877563606087596,0.017119595184002395,0.007242031577914799,0.13731945077461338,0.00812567321852278,0.011629453993652412,0.006596784762480445,0.027642405605524344
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,LSTM,0.5804001441653641,0.4219212729236975,-0.1584788712416666,0.021638929292207662,0.5273499211919445,0.6334503671387838,0.318084455208295,0.5257580906391001,0.592,0.6,0.008000000000000007,0.933129427521686,0.5783982523868348,0.6056017476131651,0.35166720035924715,0.8483327996407528,7.703698765768531,5.400216159820557,-2.3034826059479743,0.04170538116689505,4.576416780215284,10.830980751321778,0.6541219367885223,10.146310382852592,0.01882089005963098,0.009255062784167826,-0.009565827275463155,0.08708792227453978,0.010703790869197595,0.026937989250064368,0.0028274980335550896,0.01568262753478056
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,BiLSTM,0.5424339980923895,0.44983812276717705,-0.0925958753252124,0.036045963893989216,0.48154401911862144,0.6033239770661575,0.3378407972183413,0.5618354483160128,0.5720000000000001,0.6,0.027999999999999914,0.765099996469738,0.5497884391584178,0.5942115608415823,0.35166720035924715,0.8483327996407528,9.040318348173113,4.513277947902679,-4.527040400270433,0.016000289910803742,7.199314093205529,10.881322603140696,-0.16384375935766915,9.190399655163027,0.01494065403881488,0.010760888401372933,-0.004179765637441947,0.11391929734677375,0.00874280794942854,0.021138500128201218,0.0074692018486117746,0.014052574954134091
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,GRU,0.521222169226349,0.36156296398503984,-0.15965920524130917,0.07617112789865524,0.43100440440829774,0.6114399340444003,0.13885323726177923,0.5842726907083005,0.584,0.4800000000000001,-0.10399999999999987,0.48215037624923074,0.5362322322380004,0.6317677677619995,0.1033846623303124,0.8566153376696878,8.32689652827371,9.785251832008361,1.4583553037346508,0.8070767800041412,5.600970057991908,11.052822998555513,-4.496386846847518,24.06689051086424,0.015588954049763326,0.014122554364777041,-0.0014663996849862849,0.516228287648303,0.009652200648231012,0.021525707451295638,0.003074714341050635,0.025170394388503447
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,CNN-LSTM,0.5631137912758957,0.16836397256589017,-0.3947498187100055,0.0022205429133228447,0.5320959688350152,0.5941316137167761,0.03007735758059199,0.30665058755118835,0.648,0.08,-0.5680000000000001,5.293974303806877e-06,0.5524644644760008,0.7435355355239992,-0.05601747613165113,0.21601747613165112,7.116071288858936,19.467589855194095,12.351518566335159,0.038909690027043,2.814423432434311,11.41771914528356,4.921425216704057,34.01375449368413,0.017579703576428664,0.03888593763223401,0.021306234055805347,0.18572639967531818,0.00893620620722799,0.026223200945629337,0.001657138275058416,0.0761147369894096
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,TCN,0.5348316071402944,0.31801165268689113,-0.2168199544534033,0.0019183484070668055,0.512803542391605,0.5568596718889839,0.23102728076978346,0.4049960246039988,0.592,0.16,-0.43199999999999994,0.007846736862250802,0.5435910254566186,0.6404089745433813,-0.04777012673671355,0.36777012673671355,7.731860174969323,15.236784609158835,7.504924434189513,0.00586679865941114,5.347844949529791,10.115875400408854,11.85249881931365,18.621070399004022,0.030059422657952067,0.00928015458415922,-0.020779268073792847,0.003797439308088075,0.019764516839436995,0.04035432847646714,0.007849470685253837,0.010710838483064603
20ms_matched_600,"20 m/s matched, 600 flights",ALFA_matched,Transformer,0.5638174013150368,0.2636994492631657,-0.3001179520518711,0.0014369279152618686,0.5165652650428371,0.6110695375872365,0.14639725261662367,0.3810016459097077,0.604,0.27999999999999997,-0.324,0.0009466276819213205,0.5473714089207091,0.6606285910792908,0.14398252386834884,0.4160174761316511,7.476502842800711,14.56754266421,7.091039821409289,0.14295873769322837,4.265808061900545,10.687197623700877,3.167878056434775,25.967207271985224,0.017935441977658957,0.033917761233937804,0.015982319256278847,0.24140102380780976,0.009968978123592652,0.02590190583172526,-0.004421574864963654,0.07225709733283926
