regime,regime_label,dataset,model,precision_mean,precision_ci_lo,precision_ci_hi,recall_mean,recall_ci_lo,recall_ci_hi,f1_mean,f1_ci_lo,f1_ci_hi,dr_at_5s_mean,dr_at_5s_ci_lo,dr_at_5s_ci_hi,add_s_mean,add_s_ci_lo,add_s_ci_hi,mtbfa_h_mean,mtbfa_h_ci_lo,mtbfa_h_ci_hi
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_Live (HackRF spoofing),CNN,0.4108084119752543,0.3976565756940106,0.42396024825649803,0.7035399551904407,0.6742032109903582,0.7328766993905231,0.5185378311257283,0.5056339666149892,0.5314416956364674,0.36,0.036213643058259304,0.6837863569417406,23.60166908,6.244449502452063,40.95888865754794,0.010954368714373806,0.008322069017789072,0.01358666841095854
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_Live (HackRF spoofing),LSTM,0.3868152558217732,0.373989862783718,0.39964064885982836,0.6531441374159821,0.4771194221280085,0.8291688527039557,0.4806861620652091,0.42455347568542373,0.5368188484449944,0.8400000000000001,0.39576878316835307,1.284231216831647,9.028071,-2.699188893138647,20.755330893138648,0.010500462297605713,0.008111540472662503,0.012889384122548923
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_Live (HackRF spoofing),BiLSTM,0.3889522337768482,0.35264069339193127,0.4252637741617651,0.5412397311426438,0.4612316149182618,0.6212478473670258,0.45141939253837926,0.4104856702175827,0.4923531148591758,0.52,-0.07806457877808048,1.1180645787780805,21.440076240000003,4.949469562832334,37.93068291716767,0.009209351789191637,0.007274123477579579,0.011144580100803695
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_Live (HackRF spoofing),GRU,0.3825966456757478,0.36927734891363906,0.39591594243785655,0.5667513069454817,0.45324995217623276,0.6802526617147306,0.45453039400156925,0.41457482528900413,0.49448596271413436,0.8,0.24471097896044136,1.3552890210395587,6.26443728,2.2102547013149207,10.318619858685079,0.012148178020645477,0.008607949626625526,0.01568840641466543
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_Live (HackRF spoofing),CNN-LSTM,0.4149451064360467,0.41086040751257596,0.41902980535951745,0.7080507841672891,0.6511138961540885,0.7649876721804896,0.5228743906104084,0.5060546916339087,0.5396940895869081,0.2,0.2,0.2,30.768710999999996,22.94831529628136,38.589106703718635,0.015352133663390628,0.011281883524202408,0.019422383802578845
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_Live (HackRF spoofing),TCN,0.40474635465740116,0.38193420605570594,0.4275585032590964,0.6949365197908887,0.5889344572060337,0.8009385823757437,0.5095005605413727,0.4825570967553474,0.536444024327398,0.6,-0.08008738065825571,1.2800873806582556,18.697257880000002,-5.298192660404798,42.6927084204048,0.02154460621166611,0.015971133904015163,0.027118078519317055
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_Live (HackRF spoofing),Transformer,0.3933601756523729,0.37476919758860683,0.411951153716139,0.4825392083644511,0.4042810288583113,0.5607973878705909,0.4313360705408355,0.4059445567299758,0.4567275843516952,0.32,-0.0955402534734271,0.7355402534734271,16.1753294,4.402944444566815,27.947714355433185,0.008838838989963781,0.00460012874365527,0.01307754923627229
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_SITL (multi-platform),CNN,0.6412937734062275,0.6254257795209729,0.6571617672914821,0.7190479024099969,0.6877848579869983,0.7503109468329956,0.6777775542595642,0.6594260800308869,0.6961290284882415,0.22222222222222224,-0.3209373388185236,0.765381783262968,25.425955555555554,9.22323544587066,41.62867566524045,0.010954368714373806,0.008322069017789072,0.01358666841095854
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_SITL (multi-platform),LSTM,0.6230631062012241,0.6073628134798018,0.6387633989226463,0.6792145194882475,0.5139370132955963,0.8444920256808988,0.6437030329248665,0.5633230916759018,0.7240829741738313,0.8,0.24471097896044136,1.3552890210395587,7.753777777777778,-0.4336503435499388,15.941205899105494,0.010500462297605713,0.008111540472662503,0.012889384122548923
5ms_3000,"5 m/s, 3000 flights",IEEE_DataPort_SITL (multi-platform),BiLSTM,0.6256755830082942,0.5895120434831703,0.661839122533418,0.568318952692651,0.4782186277349068,0.6584192776503952,0.5939984717736545,0.5387361381018874,0.6492608054454216,0.4666666666666666,-0.16102556278281294,1.0943588961161461,18.142400000000002,0.5584857108120787,35.726314289187926,0.009209351789191637,0.007274123477579579,0.011144580100803695
