flight,attacked,attack_type,attack_start_time,attack_params,consistency_mode,reason
1,True,replay,181.79407516827183,"{'segment_duration': np.float64(8.905924831728157), 'donor_source': 'same_route_other_flight', 'donor_flight_id': np.int64(3), 'donor_t_a': 100.51361585981043, 'donor_t_b': np.float64(109.41954069153859), 'stitching': 'soft', 'transition_seconds': 0.5}",pos_vel_acc,
3,True,replay,34.97472270582604,"{'segment_duration': np.float64(15.0), 'donor_source': 'same_route_other_flight', 'donor_flight_id': np.int64(4), 'donor_t_a': 127.79995582539118, 'donor_t_b': np.float64(142.79995582539118), 'stitching': 'soft', 'transition_seconds': 0.5}",pos_vel_acc,
4,False,none,,{},,not_selected
5,False,none,,{},,not_selected
6,False,replay,,{},,no_other_flights_same_route
7,False,replay,,{},,no_other_flights_same_route
12,False,none,,{},,not_selected
14,False,none,,{},,not_selected
15,True,replay,12.149418013859949,"{'segment_duration': np.float64(15.0), 'donor_source': 'same_route_other_flight', 'donor_flight_id': np.int64(181), 'donor_t_a': 45.05048741833181, 'donor_t_b': np.float64(60.05048741833181), 'stitching': 'soft', 'transition_seconds': 0.5}",pos_vel_acc,
16,True,replay,89.93731045785455,"{'segment_duration': np.float64(5.0), 'donor_source': 'same_route_other_flight', 'donor_flight_id': np.int64(263), 'donor_t_a': 190.67748775365448, 'donor_t_b': np.float64(195.67748775365448), 'stitching': 'soft', 'transition_seconds': 0.5}",pos_vel_acc,
20,False,none,,{},,not_selected
23,True,replay,104.9914005674227,"{'segment_duration': np.float64(12.008599432577299), 'donor_source': 'same_route_other_flight', 'donor_flight_id': np.int64(20), 'donor_t_a': 116.11873834296465, 'donor_t_b': np.float64(128.12733777554195), 'stitching': 'soft', 'transition_seconds': 0.5}",pos_vel_acc,
60,False,none,,{},,not_selected
68,False,none,,{},,not_selected
78,True,replay,16.54365275135781,"{'segment_duration': np.float64(15.0), 'donor_source': 'same_route_other_flight', 'donor_flight_id': np.int64(88), 'donor_t_a': 57.999868143910014, 'donor_t_b': np.float64(72.99986814391002), 'stitching': 'soft', 'transition_seconds': 0.5}",pos_vel_acc,
79,True,replay,104.90256929425097,"{'segment_duration': np.float64(5.0), 'donor_source': 'same_route_other_flight', 'donor_flight_id': np.int64(168), 'donor_t_a': 68.4048362897931, 'donor_t_b': np.float64(73.4048362897931), 'stitching': 'soft', 'transition_seconds': 0.5}",pos_vel_acc,
80,True,replay,146.2832032129263,"{'segment_duration': np.float64(10.0), 'donor_source': 'same_route_other_flight', 'donor_flight_id': np.int64(159), 'donor_t_a': 118.24456800613765, 'donor_t_b': np.float64(128.24456800613765), 'stitching': 'soft', 'transition_seconds': 0.5}",pos_vel_acc,
81,True,replay,139.80533189887691,"{'segment_duration': np.float64(5.0), 'donor_source': 'same_route_other_flight', 'donor_flight_id': np.int64(130), 'donor_t_a': 52.06353902516308, 'donor_t_b': np.float64(57.06353902516308), 'stitching': 'soft', 'transition_seconds': 0.5}",pos_vel_acc,
82,True,replay,63.021821317604385,"{'segment_duration': np.float64(5.0), 'donor_source': 'same_route_other_flight', 'donor_flight_id': np.int64(155), 'donor_t_a': 132.48191412169916, 'donor_t_b': np.float64(137.48191412169916), 'stitching': 'soft', 'transition_seconds': 0.5}",pos_vel_acc,
83,False,none,,{},,not_selected
84,False,none,,{},,not_selected
85,True,replay,58.670345562422455,"{'segment_duration': np.float64(10.0), 'donor_source': 'same_route_other_flight', 'donor_flight_id': np.int64(225), 'donor_t_a': 142.96035943112238, 'donor_t_b': np.float64(152.96035943112238), 'stitching': 'soft', 'transition_seconds': 0.5}",pos_vel_acc,
86,False,none,,{},,not_selected
87,False,none,,{},,not_selected
