flight,attacked,attack_type,attack_start_time,attack_params,consistency_mode,reason
1,True,replay,181.79407516827183,"{'segment_duration': np.float64(8.905924831728157), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 136.2227338682082, 'donor_t_b': np.float64(145.12865869993635), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
3,False,none,,{},,not_selected
4,False,replay,,{},,no_valid_donor_segment_same_flight
5,False,none,,{},,not_selected
6,False,none,,{},,not_selected
7,False,none,,{},,not_selected
12,True,replay,103.31502687650547,"{'segment_duration': np.float64(2.8949731234945233), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 28.987374690717996, 'donor_t_b': np.float64(31.88234781421252), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
14,True,replay,25.792962343479186,"{'segment_duration': np.float64(10.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 12.515137816311826, 'donor_t_b': np.float64(22.515137816311828), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
15,True,replay,37.142555866457506,"{'segment_duration': np.float64(15.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 14.45547321615322, 'donor_t_b': np.float64(29.45547321615322), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
16,True,replay,113.02333389342638,"{'segment_duration': np.float64(2.7766661065736145), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 55.26342621114335, 'donor_t_b': np.float64(58.04009231771696), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
20,False,none,,{},,not_selected
23,True,replay,65.02308491025644,"{'segment_duration': np.float64(5.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 12.277142526888905, 'donor_t_b': np.float64(17.277142526888905), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
60,False,none,,{},,not_selected
68,True,replay,19.854665821339992,"{'segment_duration': np.float64(5.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 13.722188793883554, 'donor_t_b': np.float64(18.722188793883554), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
78,False,none,,{},,not_selected
79,False,replay,,{},,no_valid_donor_segment_same_flight
80,False,none,,{},,not_selected
81,False,none,,{},,not_selected
82,False,none,,{},,not_selected
83,True,replay,71.90489417884402,"{'segment_duration': np.float64(10.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 43.725626776165456, 'donor_t_b': np.float64(53.725626776165456), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
84,True,replay,117.81010079016019,"{'segment_duration': np.float64(10.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 64.95912595486035, 'donor_t_b': np.float64(74.95912595486035), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
85,True,replay,183.93180595386718,"{'segment_duration': np.float64(10.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 74.38254157487245, 'donor_t_b': np.float64(84.38254157487245), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
86,False,none,,{},,not_selected
87,False,none,,{},,not_selected
88,True,replay,115.70326845732052,"{'segment_duration': np.float64(5.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 105.83199237736937, 'donor_t_b': np.float64(110.83199237736937), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
91,False,none,,{},,not_selected
93,False,none,,{},,not_selected
94,False,none,,{},,not_selected
96,False,none,,{},,not_selected
97,False,none,,{},,not_selected
98,False,none,,{},,not_selected
99,True,replay,60.57388742368686,"{'segment_duration': np.float64(5.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 13.323011998745496, 'donor_t_b': np.float64(18.323011998745496), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
100,False,none,,{},,not_selected
101,False,none,,{},,not_selected
102,False,replay,,{},,no_valid_donor_segment_same_flight
105,True,replay,153.05086669775352,"{'segment_duration': np.float64(15.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 107.99056600472623, 'donor_t_b': np.float64(122.99056600472623), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
106,True,replay,72.65980934953885,"{'segment_duration': np.float64(5.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 61.84144077882654, 'donor_t_b': np.float64(66.84144077882654), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
107,False,none,,{},,not_selected
111,False,replay,,{},,no_valid_donor_segment_same_flight
113,True,replay,68.92321795124656,"{'segment_duration': np.float64(15.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 35.38040381586869, 'donor_t_b': np.float64(50.38040381586869), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
115,True,replay,82.28815324918392,"{'segment_duration': np.float64(15.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 16.731739243095717, 'donor_t_b': np.float64(31.731739243095717), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
116,False,none,,{},,not_selected
120,False,none,,{},,not_selected
121,False,none,,{},,not_selected
122,False,none,,{},,not_selected
124,True,replay,77.85072125378284,"{'segment_duration': np.float64(15.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 15.749769039517446, 'donor_t_b': np.float64(30.749769039517446), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
125,True,replay,52.685800406193195,"{'segment_duration': np.float64(15.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 22.685634894885347, 'donor_t_b': np.float64(37.68563489488535), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
126,False,none,,{},,not_selected
127,False,none,,{},,not_selected
128,True,replay,121.99854038017955,"{'segment_duration': np.float64(15.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 82.5318064827155, 'donor_t_b': np.float64(97.5318064827155), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
129,False,replay,,{},,no_valid_donor_segment_same_flight
130,False,none,,{},,not_selected
135,False,none,,{},,not_selected
137,False,none,,{},,not_selected
138,True,replay,29.083911603295952,"{'segment_duration': np.float64(10.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 17.14035953403649, 'donor_t_b': np.float64(27.14035953403649), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
139,True,replay,26.689423407582044,"{'segment_duration': np.float64(5.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 13.399273789056672, 'donor_t_b': np.float64(18.39927378905667), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
140,True,replay,50.84598112751595,"{'segment_duration': np.float64(10.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 10.01553116198139, 'donor_t_b': np.float64(20.01553116198139), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
141,True,replay,76.32040177518712,"{'segment_duration': np.float64(10.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 38.254745984184, 'donor_t_b': np.float64(48.254745984184), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
143,True,replay,42.849745168621006,"{'segment_duration': np.float64(15.0), 'donor_source': 'same_flight_earlier', 'donor_flight_id': None, 'donor_t_a': 14.539529169788548, 'donor_t_b': np.float64(29.539529169788548), 'stitching': 'hard', 'transition_seconds': 0.5}",pos_vel_acc,
