flight,attacked,attack_type,attack_start_time,attack_params,consistency_mode,reason
1,True,step,181.79407516827183,"{'magnitude': np.float64(30.0), 'direction_mode': 'random_xy', 'direction_vector': [0.18547384942513223, -0.9826492004675033], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
3,False,none,,{},,not_selected
4,True,step,25.096212288518437,"{'magnitude': np.float64(30.0), 'direction_mode': 'random_xy', 'direction_vector': [0.6668370346083147, -0.745203575725982], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
5,False,none,,{},,not_selected
6,False,none,,{},,not_selected
7,True,step,164.80731150357593,"{'magnitude': np.float64(15.0), 'direction_mode': 'random_xy', 'direction_vector': [0.23442821065409028, 0.9721334342823116], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
12,True,step,27.645347892998867,"{'magnitude': np.float64(15.0), 'direction_mode': 'random_xy', 'direction_vector': [-0.9879265888683799, -0.15492273883096372], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
14,True,step,35.07774126245339,"{'magnitude': np.float64(30.0), 'direction_mode': 'random_xy', 'direction_vector': [-0.8085032315617029, 0.5884917370314415], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
15,True,step,100.754014356024,"{'magnitude': np.float64(30.0), 'direction_mode': 'random_xy', 'direction_vector': [-0.9621476020382691, 0.27252888267486164], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
16,False,none,,{},,not_selected
20,True,step,71.75441370909061,"{'magnitude': np.float64(5.0), 'direction_mode': 'random_xy', 'direction_vector': [0.9577113395820728, 0.2877307596276625], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
23,False,none,,{},,not_selected
60,True,step,18.483378241210303,"{'magnitude': np.float64(5.0), 'direction_mode': 'random_xy', 'direction_vector': [0.9767753507123773, -0.21426598946335887], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
68,False,none,,{},,not_selected
78,True,step,26.45775121007568,"{'magnitude': np.float64(30.0), 'direction_mode': 'random_xy', 'direction_vector': [-0.40713733748828707, -0.9133669516809488], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
79,False,none,,{},,not_selected
80,False,none,,{},,not_selected
81,True,step,72.17863660414528,"{'magnitude': np.float64(15.0), 'direction_mode': 'random_xy', 'direction_vector': [-0.5223791757107705, -0.8527133145341029], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
82,True,step,94.19901262868757,"{'magnitude': np.float64(15.0), 'direction_mode': 'random_xy', 'direction_vector': [-0.9108845829835724, -0.4126612127191545], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
83,True,step,143.33367981838828,"{'magnitude': np.float64(15.0), 'direction_mode': 'random_xy', 'direction_vector': [-0.790733220385507, 0.6121609054642131], 'attack_duration': 3.0, 'time_constant': 1.0}",pos_vel_acc,
84,False,none,,{},,not_selected
85,False,none,,{},,not_selected
