flight,attacked,attack_type,attack_start_time,attack_params,consistency_mode,reason
1,True,takeover,181.79407516827183,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel,
3,True,takeover,148.67480093856713,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(5.0), 'T_takeover_clipped': False}",pos_vel_acc,
4,True,takeover,37.6940809878685,"{'offset_profile': 'ramp', 'M': np.float64(15.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'alpha': np.float64(0.3), 'alpha_clipped': False, 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel,
5,True,takeover,19.193135653082237,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.999685642258224, -0.025072228914923635], 'alpha': np.float64(0.3), 'alpha_clipped': False, 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel,
6,False,none,,{},,not_selected
7,True,takeover,20.382884756380463,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel_acc,
12,True,takeover,75.8300594807346,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'alpha': np.float64(0.3), 'alpha_clipped': False, 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel,
14,False,none,,{},,not_selected
15,True,takeover,71.74707690179113,"{'offset_profile': 'ramp', 'M': np.float64(15.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [-0.06562501402958032, 0.9978443553649123], 'tau_takeover': np.float64(0.5), 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel_acc,
16,False,none,,{},,not_selected
20,False,none,,{},,not_selected
23,False,none,,{},,not_selected
60,False,none,,{},,not_selected
68,False,none,,{},,not_selected
78,True,takeover,43.023112317625966,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'alpha': np.float64(0.5), 'alpha_clipped': False, 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel,
79,False,none,,{},,not_selected
80,False,none,,{},,not_selected
81,False,none,,{},,not_selected
82,True,takeover,57.96668057349094,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [-0.2698567512781694, 0.9629004796912255], 'alpha': np.float64(0.3), 'alpha_clipped': False, 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel_acc,
83,True,takeover,41.47675256725786,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.2639017960062355, 0.9645495539704961], 'tau_takeover': np.float64(0.5), 'T_takeover': np.float64(5.0), 'T_takeover_clipped': False}",pos_vel,
84,False,none,,{},,not_selected
85,False,none,,{},,not_selected
86,False,none,,{},,not_selected
87,True,takeover,31.953867804443643,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel,
88,True,takeover,32.160813772367305,"{'offset_profile': 'ramp', 'M': np.float64(15.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.1313664261919739, 0.9913338802187429], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel,
91,True,takeover,16.36384265745371,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [0.7930865203193379, -0.6091089978712878], 'alpha': np.float64(0.3), 'alpha_clipped': False, 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel,
93,True,takeover,101.14362030149864,"{'offset_profile': 'ramp', 'M': np.float64(15.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'alpha': np.float64(0.3), 'alpha_clipped': False, 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel,
94,True,takeover,197.8164312551498,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.87896345774548, -0.47688912752138685], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(5.0), 'T_takeover_clipped': False}",pos_vel,
96,True,takeover,29.094461029278982,"{'offset_profile': 'ramp', 'M': np.float64(15.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.9643820792007195, -0.2645131477195362], 'alpha': np.float64(0.8), 'alpha_clipped': False, 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel,
97,False,none,,{},,not_selected
98,True,takeover,81.56975831982054,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'alpha': np.float64(0.8), 'alpha_clipped': False, 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel_acc,
99,False,none,,{},,not_selected
100,True,takeover,40.20888330212402,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [0.019098732114908177, 0.9998176025813924], 'alpha': np.float64(0.8), 'alpha_clipped': False, 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel_acc,
101,True,takeover,90.6457392915058,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [-0.23484672015533273, -0.9720324161427348], 'alpha': np.float64(0.5), 'alpha_clipped': False, 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel_acc,
102,True,takeover,241.97466277387898,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [-0.5624535761747637, 0.8268288666031317], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel,
105,False,none,,{},,not_selected
106,False,none,,{},,not_selected
107,False,none,,{},,not_selected
111,True,takeover,74.02501971445979,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'alpha': np.float64(0.8), 'alpha_clipped': False, 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel,
113,False,none,,{},,not_selected
115,True,takeover,136.6649005472558,"{'offset_profile': 'ramp', 'M': np.float64(15.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.5840289541048008, -0.8117328259761658], 'tau_takeover': np.float64(0.5), 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel_acc,
116,False,none,,{},,not_selected
120,False,none,,{},,not_selected
121,False,none,,{},,not_selected
122,True,takeover,44.00521774412066,"{'offset_profile': 'ramp', 'M': np.float64(15.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [0.5725968195831279, -0.8198371071153627], 'tau_takeover': np.float64(2.0), 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel,
124,True,takeover,77.20412529846692,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.9928915316382665, -0.11902271380294388], 'alpha': np.float64(0.3), 'alpha_clipped': False, 'T_takeover': np.float64(5.0), 'T_takeover_clipped': False}",pos_vel,
125,False,none,,{},,not_selected
126,False,none,,{},,not_selected
127,True,takeover,35.12352753097643,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel_acc,
128,False,none,,{},,not_selected
129,False,none,,{},,not_selected
130,False,none,,{},,not_selected
135,True,takeover,59.165019462001666,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.9964759334524115, -0.08387916338486663], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel_acc,
137,False,none,,{},,not_selected
138,False,none,,{},,not_selected
139,False,none,,{},,not_selected
140,False,none,,{},,not_selected
141,False,none,,{},,not_selected
143,True,takeover,149.04573613950544,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'alpha': np.float64(0.5), 'alpha_clipped': False, 'T_takeover': np.float64(5.0), 'T_takeover_clipped': False}",pos_vel_acc,
144,False,none,,{},,not_selected
146,False,none,,{},,not_selected
147,True,takeover,169.67058142611754,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'alpha': np.float64(0.8), 'alpha_clipped': False, 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel,
148,True,takeover,164.18993352370236,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [0.4085750059926466, -0.9127247473790271], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(5.0), 'T_takeover_clipped': False}",pos_vel_acc,
152,False,none,,{},,not_selected
155,True,takeover,160.04223058079043,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [0.7845609103013286, -0.6200517543134206], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel_acc,
156,False,none,,{},,not_selected
157,False,none,,{},,not_selected
158,True,takeover,84.32989426483962,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [0.8603079800750694, -0.5097746359119429], 'alpha': np.float64(0.5), 'alpha_clipped': False, 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel_acc,
159,True,takeover,12.167017637347213,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [0.60297693795447, -0.7977586178130897], 'tau_takeover': np.float64(2.0), 'T_takeover': np.float64(10.0), 'T_takeover_clipped': False}",pos_vel_acc,
160,True,takeover,86.2493502631812,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [0.9206120131731574, -0.39047857969582167], 'alpha': np.float64(0.5), 'alpha_clipped': False, 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel_acc,
163,False,none,,{},,not_selected
164,False,none,,{},,not_selected
167,True,takeover,85.34453534291528,"{'offset_profile': 'ramp', 'M': np.float64(15.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [-0.07699438183186515, 0.9970315266661978], 'alpha': np.float64(0.5), 'alpha_clipped': False, 'T_takeover': np.float64(5.0), 'T_takeover_clipped': False}",pos_vel_acc,
168,False,none,,{},,not_selected
171,False,none,,{},,not_selected
172,False,none,,{},,not_selected
174,True,takeover,54.5672419593501,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [-0.05465599398958728, 0.9985052440127744], 'tau_takeover': np.float64(0.5), 'T_takeover': np.float64(3.0), 'T_takeover_clipped': False}",pos_vel_acc,
175,False,none,,{},,not_selected
176,False,none,,{},,not_selected
177,False,none,,{},,not_selected
178,False,none,,{},,not_selected
180,False,none,,{},,not_selected
181,False,none,,{},,not_selected
182,False,none,,{},,not_selected
