flight,attacked,attack_type,attack_start_time,attack_params,consistency_mode,reason
1,True,takeover,181.79407516827183,"{'offset_profile': 'step', 'M': np.float64(30.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'tau_takeover': np.float64(1.0)}",pos_vel,
3,True,takeover,83.52574760373533,"{'offset_profile': 'step', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'alpha': np.float64(0.8), 'alpha_clipped': False}",pos_vel_acc,
4,True,takeover,119.02181461229054,"{'offset_profile': 'step', 'M': np.float64(15.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [-0.3558023803392161, 0.9345612158360456], 'alpha': np.float64(0.3), 'alpha_clipped': False}",pos_vel,
5,True,takeover,113.37701703155085,"{'offset_profile': 'step', 'M': np.float64(5.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [0.95732131982426, 0.28902576115276796], 'tau_takeover': np.float64(2.0)}",pos_vel_acc,
6,False,none,,{},,not_selected
7,True,takeover,24.46169301578353,"{'offset_profile': 'step', 'M': np.float64(15.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [0.7708012341853067, 0.6370757077290012], 'alpha': np.float64(0.3), 'alpha_clipped': False}",pos_vel,
12,False,none,,{},,not_selected
14,False,none,,{},,not_selected
15,True,takeover,11.23629438009956,"{'offset_profile': 'step', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'tau_takeover': np.float64(1.0)}",pos_vel,
16,True,takeover,34.428566750823364,"{'offset_profile': 'step', 'M': np.float64(30.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'alpha': np.float64(0.3), 'alpha_clipped': False}",pos_vel_acc,
20,True,takeover,119.20028708564094,"{'offset_profile': 'step', 'M': np.float64(15.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'alpha': np.float64(0.5), 'alpha_clipped': False}",pos_vel_acc,
23,False,none,,{},,not_selected
60,True,takeover,136.4435313067761,"{'offset_profile': 'step', 'M': np.float64(15.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'tau_takeover': np.float64(1.0)}",pos_vel_acc,
68,False,none,,{},,not_selected
78,False,none,,{},,not_selected
79,True,takeover,36.69482569011177,"{'offset_profile': 'step', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'alpha': np.float64(0.5), 'alpha_clipped': False}",pos_vel,
80,False,none,,{},,not_selected
81,True,takeover,54.66858704029354,"{'offset_profile': 'step', 'M': np.float64(5.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [0.995177699162239, 0.09808846563257122], 'alpha': np.float64(0.3), 'alpha_clipped': False}",pos_vel,
82,True,takeover,73.93131779262474,"{'offset_profile': 'step', 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.9991477995270506, -0.041275594486969006], 'alpha': np.float64(0.8), 'alpha_clipped': False}",pos_vel,
83,False,none,,{},,not_selected
84,True,takeover,84.30994552722771,"{'offset_profile': 'step', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'tau_takeover': np.float64(1.0)}",pos_vel,
85,True,takeover,74.21784943428425,"{'offset_profile': 'step', 'M': np.float64(5.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.6238884047637004, 0.7815134409601701], 'tau_takeover': np.float64(1.0)}",pos_vel,
86,False,none,,{},,not_selected
87,True,takeover,233.59095314903277,"{'offset_profile': 'step', 'M': np.float64(30.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [-0.038119158735551224, 0.9992732007500721], 'tau_takeover': np.float64(2.0)}",pos_vel,
88,True,takeover,141.68583345877641,"{'offset_profile': 'step', 'M': np.float64(15.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [-0.6181881702925422, 0.7860301432581062], 'alpha': np.float64(0.8), 'alpha_clipped': False}",pos_vel,
91,False,none,,{},,not_selected
93,True,takeover,101.14362030149864,"{'offset_profile': 'step', 'M': np.float64(15.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'alpha': np.float64(0.3), 'alpha_clipped': False}",pos_vel,
94,False,none,,{},,not_selected
96,True,takeover,23.93336367901153,"{'offset_profile': 'step', 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.9754512703784467, -0.22021539255255235], 'alpha': np.float64(0.5), 'alpha_clipped': False}",pos_vel_acc,
97,False,none,,{},,not_selected
98,False,none,,{},,not_selected
99,False,none,,{},,not_selected
100,False,none,,{},,not_selected
101,True,takeover,138.97477528180178,"{'offset_profile': 'step', 'M': np.float64(30.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [-0.08178214234753765, -0.9966502301173904], 'alpha': np.float64(0.3), 'alpha_clipped': False}",pos_vel,
102,False,none,,{},,not_selected
105,True,takeover,140.25048324086796,"{'offset_profile': 'step', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'alpha': np.float64(0.8), 'alpha_clipped': False}",pos_vel,
106,True,takeover,103.35883050682726,"{'offset_profile': 'step', 'M': np.float64(15.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'tau_takeover': np.float64(1.0)}",pos_vel_acc,
107,True,takeover,39.434103276045555,"{'offset_profile': 'step', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'alpha': np.float64(0.3), 'alpha_clipped': False}",pos_vel_acc,
111,False,none,,{},,not_selected
113,True,takeover,100.10142926770024,"{'offset_profile': 'step', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'alpha': np.float64(0.3), 'alpha_clipped': False}",pos_vel,
115,False,none,,{},,not_selected
116,False,none,,{},,not_selected
