flight,attacked,attack_type,attack_start_time,attack_params,consistency_mode,reason
1,True,takeover_step,66.19450553402015,"{'offset_profile': 'step', 'M': np.float64(5.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.9259503697694166, -0.37764522070837964], 'tau_takeover': np.float64(1.0)}",pos_vel,
3,False,none,,{},,not_selected
5,False,none,,{},,not_selected
6,True,takeover_step,80.64617912332669,"{'offset_profile': 'step', 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.9993158833105786, 0.036983311955507456], 'tau_takeover': np.float64(1.0)}",pos_vel,
7,True,delay,88.81471513572042,"{'delay_seconds': np.float64(1.0), 'source_time_clamped_count': 0}",pos_vel_acc,
12,True,drift_sigmoid,20.668805870306294,"{'profile': 'sigmoid', 'T_drift': np.float64(5.0), 'T_drift_clipped': False, 'M': np.float64(30.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [-0.39343096417317863, 0.9193541626760402]}",pos_vel_acc,
14,False,none,,{},,not_selected
15,True,step,94.58519536991187,"{'magnitude': np.float64(30.0), 'direction_mode': 'random_xy', 'direction_vector': [-0.7923933904134941, -0.6100104219019605], 'attack_duration': 5.0, 'time_constant': 1.0}",pos_vel_acc,
16,True,drift_ramp,31.483877576938603,"{'profile': 'ramp', 'T_drift': np.float64(5.0), 'T_drift_clipped': False, 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.9938426338548455, -0.11080080835654395]}",pos_vel_acc,
20,True,step,115.7353827873423,"{'magnitude': np.float64(15.0), 'direction_mode': 'random_xy', 'direction_vector': [0.3571184723782189, -0.9340590969988181], 'attack_duration': 5.0, 'time_constant': 1.0}",pos_vel_acc,
23,True,takeover_step,103.2462831500858,"{'offset_profile': 'step', 'M': np.float64(15.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.7705158879865887, 0.6374207922246018], 'alpha': np.float64(0.7), 'alpha_clipped': False}",pos_vel_acc,
60,True,step,128.2594970619818,"{'magnitude': np.float64(5.0), 'direction_mode': 'random_xy', 'direction_vector': [0.1381937791238698, 0.9904052097053322], 'attack_duration': 5.0, 'time_constant': 1.0}",pos_vel_acc,
68,True,drift_sigmoid,133.9210568895985,"{'profile': 'sigmoid', 'T_drift': np.float64(5.0), 'T_drift_clipped': False, 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.600094646003347, -0.7999290067487974]}",pos_vel_acc,
78,True,drift_sigmoid,47.42516606431805,"{'profile': 'sigmoid', 'T_drift': np.float64(20.0), 'T_drift_clipped': False, 'M': np.float64(15.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0]}",pos_vel_acc,
80,False,none,,{},,not_selected
81,True,delay,36.75827570549596,"{'delay_seconds': np.float64(1.0), 'source_time_clamped_count': 0}",pos_vel_acc,
82,True,drift_sigmoid,20.506054806944114,"{'profile': 'sigmoid', 'T_drift': np.float64(10.0), 'T_drift_clipped': False, 'M': np.float64(15.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [0.285876408295762, 0.9582664969516126]}",pos_vel_acc,
83,True,takeover_ramp,33.442161011623206,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.5990659132259275, 0.8006997137571522], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(1.0), 'T_takeover_clipped': False}",pos_vel,
84,True,step,198.28351816088733,"{'magnitude': np.float64(30.0), 'direction_mode': 'random_xy', 'direction_vector': [-0.42176449169548924, -0.9067054171807101], 'attack_duration': 5.0, 'time_constant': 1.0}",pos_vel_acc,
85,True,drift_sigmoid,102.46722348434342,"{'profile': 'sigmoid', 'T_drift': np.float64(10.0), 'T_drift_clipped': False, 'M': np.float64(30.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0]}",pos_vel_acc,
86,False,none,,{},,not_selected
87,False,none,,{},,not_selected
88,True,takeover_ramp,78.49697070817825,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0], 'tau_takeover': np.float64(1.0), 'T_takeover': np.float64(1.0), 'T_takeover_clipped': False}",pos_vel,
91,False,none,,{},,not_selected
93,True,delay,139.18022467375022,"{'delay_seconds': np.float64(1.0), 'source_time_clamped_count': 0}",pos_vel_acc,
94,True,delay,47.15448727165096,"{'delay_seconds': np.float64(1.0), 'source_time_clamped_count': 0}",pos_vel_acc,
96,True,takeover_ramp,68.99856184154115,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [-0.059153452577983226, 0.9982489013508127], 'tau_takeover': np.float64(2.0), 'T_takeover': np.float64(2.0), 'T_takeover_clipped': False}",pos_vel_acc,
99,True,takeover_step,77.86554399964005,"{'offset_profile': 'step', 'M': np.float64(30.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [-0.008029736091109217, 0.9999677611494818], 'tau_takeover': np.float64(2.0)}",pos_vel_acc,
100,True,takeover_ramp,38.435831136536436,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [0.7731167294535687, -0.6342637642487684], 'alpha': np.float64(0.5), 'alpha_clipped': False, 'T_takeover': np.float64(0.5), 'T_takeover_clipped': False}",pos_vel_acc,
105,False,none,,{},,not_selected
106,True,delay,52.27578044939896,"{'delay_seconds': np.float64(3.0), 'source_time_clamped_count': 0}",pos_vel_acc,
111,True,step,114.26841101951368,"{'magnitude': np.float64(30.0), 'direction_mode': 'random_xy', 'direction_vector': [0.3756653419562217, 0.9267553888987725], 'attack_duration': 5.0, 'time_constant': 1.0}",pos_vel_acc,
115,False,none,,{},,not_selected
116,True,drift_ramp,90.47111466387143,"{'profile': 'ramp', 'T_drift': np.float64(20.0), 'T_drift_clipped': False, 'M': np.float64(15.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [-0.6275365604888604, -0.778587095481174]}",pos_vel_acc,
120,True,takeover_step,29.13683974880227,"{'offset_profile': 'step', 'M': np.float64(15.0), 'direction_mode': np.str_('fixed_east'), 'direction_vector': [1.0, 0.0], 'tau_takeover': np.float64(1.0)}",pos_vel,
