metric_system,metric,CV,rating
代价权衡,EOC,0.6458915804100912,⭐⭐⭐⭐⭐ 优秀
代价权衡,F_0.5,0.159134266131624,⭐⭐⭐⭐⭐ 优秀
代价权衡,F_1.0,0.13960894452229802,⭐⭐⭐⭐ 良好
代价权衡,F_2.0,0.11036091108443925,⭐⭐⭐⭐ 良好
代价权衡,F_5.0,0.10056148830621223,⭐⭐⭐⭐ 良好
时效性,MTTD,0.6646524663897804,⭐⭐⭐⭐⭐ 优秀
时效性,P90_delay,0.3307189138830738,⭐⭐⭐⭐⭐ 优秀
时效性,RRR@5,0.0,⭐⭐ 偏低
时效性,RRR@10,0.0,⭐⭐ 偏低
风险加权,RWDR,0.15880420530680808,⭐⭐⭐⭐⭐ 优秀
风险加权,CMR,0.27940893424159546,⭐⭐⭐⭐⭐ 优秀
风险加权,WCP,0.4802179006923689,⭐⭐⭐⭐⭐ 优秀
边缘部署,PER,0.2594146998173616,⭐⭐⭐⭐⭐ 优秀
边缘部署,Memory_Score,0.6891188805647872,⭐⭐⭐⭐⭐ 优秀
边缘部署,Energy_Score,0.5246782901115985,⭐⭐⭐⭐⭐ 优秀
