attack_type,model_type,F_0.5,F_1.0,F_2.0,F_5.0,EOC,CBS,FPR,FNR,TP,FP,TN,FN
step,cnn,0.9965635738831616,0.9978494623655914,0.9991386735572781,0.9998342449859109,0.0,10.0,0.0,0.0,232,0,7528,0
step,lstm,1.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,232,0,7529,0
step,bilstm,1.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,232,0,7529,0
step,gru,0.6697459584295612,0.7644151565074135,0.8902532617037606,0.9768421052631578,0.018862911795961744,9.981137088204038,0.018862911795961744,0.0,232,142,7386,0
step,cnn_lstm,0.9863945578231292,0.9914529914529915,0.9965635738831615,0.9993373094764745,0.00039851222104144525,9.999601487778959,0.00039851222104144525,0.0,232,3,7525,0
step,tcn,0.9973867595818815,0.9934924078091106,0.989628349178911,0.9875601260573892,0.646551724137931,9.870689655172413,0.0,0.01293103448275862,229,0,7529,3
step,transformer,1.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,232,0,7529,0
drift_ramp,cnn,0.9871244635193133,0.9919137466307278,0.9967497291440954,0.9993733026947984,0.0003362474781439139,9.999663752521856,0.0003362474781439139,0.0,184,2,5946,0
drift_ramp,lstm,1.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,184,0,5949,0
drift_ramp,bilstm,1.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,184,0,5949,0
drift_ramp,gru,0.3733766233766234,0.48806366047745353,0.7044410413476264,0.925338491295938,0.06472763954270343,9.935272360457297,0.06472763954270343,0.0,184,385,5563,0
drift_ramp,cnn_lstm,0.6705539358600583,0.7650727650727651,0.8906098741529526,0.9769246477435164,0.01899478904017482,9.981005210959825,0.01899478904017482,0.0,184,113,5836,0
drift_ramp,tcn,1.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,184,0,5949,0
drift_ramp,transformer,0.3852596314907873,0.5006802721088436,0.7148407148407149,0.9287516986992818,0.06169104051101025,9.93830895948899,0.06169104051101025,0.0,184,367,5582,0
drift_sigmoid,cnn,0.9704641350210972,0.9813333333333333,0.9924487594390506,0.9985389271550824,0.001176668347621449,9.998823331652378,0.001176668347621449,0.0,184,7,5942,0
drift_sigmoid,lstm,1.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,184,0,5949,0
drift_sigmoid,bilstm,0.9236947791164659,0.9509043927648578,0.9797657082002129,0.9960441390797419,0.003026227303295225,9.996973772696705,0.003026227303295225,0.0,184,18,5930,0
drift_sigmoid,gru,0.4732510288065844,0.5897435897435896,0.782312925170068,0.9492063492063492,0.04303244242729871,9.956967557572701,0.04303244242729871,0.0,184,256,5693,0
drift_sigmoid,cnn_lstm,1.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,184,0,5949,0
drift_sigmoid,tcn,1.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,184,0,5949,0
drift_sigmoid,transformer,0.9663865546218489,0.9787234042553191,0.9913793103448275,0.998330550918197,0.0011768661735036988,9.998823133826496,0.0011768661735036988,0.0,184,7,5941,0
delay,cnn,0.9990439770554493,0.9976133651551313,0.996186844613918,0.995420406667888,0.2380952380952381,9.952380952380953,0.0,0.004761904761904762,209,0,6807,1
delay,lstm,0.9990439770554493,0.9976133651551313,0.996186844613918,0.995420406667888,0.2380952380952381,9.952380952380953,0.0,0.004761904761904762,209,0,6807,1
delay,bilstm,0.5403309203722855,0.6521060842433698,0.8221872541306059,0.9565217391304348,0.2707087242124704,9.91976746626372,0.03261348611723226,0.004761904761904762,209,222,6585,1
delay,gru,0.9990439770554493,0.9976133651551313,0.996186844613918,0.995420406667888,0.2380952380952381,9.952380952380953,0.0,0.004761904761904762,209,0,6807,1
delay,cnn_lstm,0.9990439770554493,0.9976133651551313,0.996186844613918,0.995420406667888,0.2380952380952381,9.952380952380953,0.0,0.004761904761904762,209,0,6807,1
delay,tcn,0.9990439770554493,0.9976133651551313,0.996186844613918,0.995420406667888,0.2380952380952381,9.952380952380953,0.0,0.004761904761904762,209,0,6807,1
delay,transformer,0.023364485981308414,0.009478672985781991,0.005945303210463734,0.004951437821367358,49.76190476190476,0.04761904761904763,0.0,0.9952380952380953,1,0,6807,209
replay_same_hard,cnn,0.06489327469698596,0.0971107544141252,0.19285941982786098,0.41113434396236276,22.170636314667792,5.317735778355464,0.31017119838872104,0.4372093023255814,121,2156,4795,94
replay_same_hard,lstm,0.03008849557522124,0.04473684210526316,0.08717948717948718,0.1782258064516129,38.42917517149072,2.08245273548603,0.2896402877697842,0.7627906976744186,51,2013,4937,164
replay_same_hard,bilstm,0.033578364642889554,0.050754458161865565,0.10390339792193204,0.23823675086676577,33.168628907334735,3.0639292322001523,0.3779312329161272,0.6558139534883721,74,2627,4324,141
replay_same_hard,gru,0.056644880174291944,0.08580858085808582,0.17687074829931973,0.4126984126984127,20.153717216528992,5.660236271843101,0.3862753560638757,0.3953488372093023,130,2685,4266,85
replay_same_hard,cnn_lstm,0.05002050020500205,0.07601246105919003,0.15823605706874191,0.3789725209080048,22.14229378681478,5.261096780453205,0.41332182419795716,0.43457943925233644,121,2873,4078,93
