attack_type,model_type,MTTD,P50_delay,P90_delay,P95_delay,P99_delay,RRR@5,RRR@10,RRR@20,num_segments
step,cnn,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,227
step,lstm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,227
step,bilstm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,227
step,gru,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,227
step,cnn_lstm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,227
step,tcn,0.022026431718061675,0.0,0.0,0.0,0.0,1.0,1.0,1.0,227
step,transformer,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,227
drift_ramp,cnn,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_ramp,lstm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_ramp,bilstm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_ramp,gru,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_ramp,cnn_lstm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_ramp,tcn,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_ramp,transformer,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_sigmoid,cnn,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_sigmoid,lstm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_sigmoid,bilstm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_sigmoid,gru,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_sigmoid,cnn_lstm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_sigmoid,tcn,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
drift_sigmoid,transformer,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,177
delay,cnn,0.012135922330097087,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206
delay,lstm,0.012135922330097087,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206
delay,bilstm,0.012135922330097087,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206
delay,gru,0.012135922330097087,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206
delay,cnn_lstm,0.012135922330097087,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206
delay,tcn,0.012135922330097087,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206
delay,transformer,2.5364077669902914,2.5,2.5,2.5,5.0,1.0,1.0,1.0,206
replay_same_hard,cnn,1.0781990521327014,0.0,2.5,2.5,2.5,1.0,1.0,1.0,211
replay_same_hard,lstm,1.9431279620853081,2.5,2.5,2.5,2.5,1.0,1.0,1.0,211
replay_same_hard,bilstm,1.6706161137440758,2.5,2.5,2.5,2.5,1.0,1.0,1.0,211
replay_same_hard,gru,0.9834123222748815,0.0,2.5,2.5,2.5,1.0,1.0,1.0,211
replay_same_hard,cnn_lstm,1.0781990521327014,0.0,2.5,2.5,2.5,1.0,1.0,1.0,211
replay_same_hard,tcn,1.0781990521327014,0.0,2.5,2.5,2.5,1.0,1.0,1.0,211
replay_same_hard,transformer,2.0734597156398102,2.5,2.5,2.5,2.5,1.0,1.0,1.0,211
replay_other_soft,cnn,0.8111111111111111,0.0,2.5,2.5,2.5,1.0,1.0,1.0,225
replay_other_soft,lstm,1.011111111111111,0.0,2.5,2.5,2.5,1.0,1.0,1.0,225
replay_other_soft,bilstm,0.32222222222222224,0.0,2.5,2.5,2.5,1.0,1.0,1.0,225
replay_other_soft,gru,0.7888888888888889,0.0,2.5,2.5,2.5,1.0,1.0,1.0,225
replay_other_soft,cnn_lstm,0.5333333333333333,0.0,2.5,2.5,2.5,1.0,1.0,1.0,225
replay_other_soft,tcn,1.4,2.5,2.5,2.5,2.5,1.0,1.0,1.0,225
replay_other_soft,transformer,1.2666666666666666,2.5,2.5,2.5,2.5,1.0,1.0,1.0,225
takeover_step,cnn,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,225
takeover_step,lstm,0.011111111111111112,0.0,0.0,0.0,0.0,1.0,1.0,1.0,225
takeover_step,bilstm,0.011111111111111112,0.0,0.0,0.0,0.0,1.0,1.0,1.0,225
takeover_step,gru,0.011111111111111112,0.0,0.0,0.0,0.0,1.0,1.0,1.0,225
takeover_step,cnn_lstm,0.011111111111111112,0.0,0.0,0.0,0.0,1.0,1.0,1.0,225
takeover_step,tcn,0.03333333333333333,0.0,0.0,0.0,1.8999999999999773,1.0,1.0,1.0,225
takeover_step,transformer,0.9888888888888889,0.0,2.5,2.5,2.5,1.0,1.0,1.0,225
takeover_ramp,cnn,0.035046728971962614,0.0,0.0,0.0,2.1750000000000114,1.0,1.0,1.0,214
takeover_ramp,lstm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,214
takeover_ramp,bilstm,0.011682242990654205,0.0,0.0,0.0,0.0,1.0,1.0,1.0,214
takeover_ramp,gru,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,214
takeover_ramp,cnn_lstm,0.011682242990654205,0.0,0.0,0.0,0.0,1.0,1.0,1.0,214
takeover_ramp,tcn,0.035046728971962614,0.0,0.0,0.0,2.1750000000000114,1.0,1.0,1.0,214
takeover_ramp,transformer,0.16355140186915887,0.0,0.0,2.5,2.5,1.0,1.0,1.0,214
