attack_type,model_type,FAR@99TPR,MTBFA_flights,Availability,current_TPR
step,cnn,0.0,inf,1.0,1.0
step,lstm,0.0,inf,1.0,1.0
step,bilstm,0.0,inf,1.0,1.0
step,gru,0.018862911795961744,0.014726134585289515,0.9937123627346794,1.0
step,cnn_lstm,0.00039851222104144525,0.6970370370370371,0.9998671625929861,1.0
step,tcn,0.0,inf,1.0,0.9870689655172413
step,transformer,0.0,inf,1.0,1.0
drift_ramp,cnn,0.0003362474781439139,0.8261111111111111,0.9998879175072853,1.0
drift_ramp,lstm,0.0,inf,1.0,1.0
drift_ramp,bilstm,0.0,inf,1.0,1.0
drift_ramp,gru,0.06472763954270343,0.0042914862914862914,0.9784241201524322,1.0
drift_ramp,cnn_lstm,0.01899478904017482,0.014623893805309734,0.993668403653275,1.0
drift_ramp,tcn,0.0,inf,1.0,1.0
drift_ramp,transformer,0.06169104051101025,0.0045027247956403275,0.9794363198296633,1.0
drift_sigmoid,cnn,0.001176668347621449,0.23607142857142854,0.9996077772174595,1.0
drift_sigmoid,lstm,0.0,inf,1.0,1.0
drift_sigmoid,bilstm,0.003026227303295225,0.09179012345679012,0.9989912575655683,1.0
drift_sigmoid,gru,0.04303244242729871,0.0064550781249999994,0.9856558525242337,1.0
drift_sigmoid,cnn_lstm,0.0,inf,1.0,1.0
drift_sigmoid,tcn,0.0,inf,1.0,1.0
drift_sigmoid,transformer,0.0011768661735036988,0.23603174603174604,0.9996077112754987,1.0
delay,cnn,0.0,inf,1.0,0.9952380952380953
delay,lstm,0.0,inf,1.0,0.9952380952380953
delay,bilstm,0.03261348611723226,0.008517267267267266,0.9891288379609225,0.9952380952380953
delay,gru,0.0,inf,1.0,0.9952380952380953
delay,cnn_lstm,0.0,inf,1.0,0.9952380952380953
delay,tcn,0.0,inf,1.0,0.9952380952380953
delay,transformer,0.0,inf,1.0,0.004761904761904762
replay_same_hard,cnn,0.545619335347432,0.0008955627705627705,0.8966096005370929,0.5627906976744186
replay_same_hard,lstm,1.0,0.0009590439918308771,0.9034532374100719,0.2372093023255814
replay_same_hard,bilstm,1.0,0.0007349955589392209,0.874022922361291,0.34418604651162793
replay_same_hard,gru,0.6324516118322765,0.0007191185599006828,0.8712415479787081,0.6046511627906976
replay_same_hard,cnn_lstm,0.7211110678732392,0.0006720617240979232,0.8622260586006809,0.5674418604651162
replay_same_hard,tcn,0.628995592095488,0.0007704841713221602,0.8798254447801276,0.5674418604651162
replay_same_hard,transformer,1.0,0.0010835203890759446,0.9145446698316789,0.18604651162790697
replay_other_soft,cnn,0.5239444455892354,0.0007738391376451078,0.880346459505313,0.6782608695652174
replay_other_soft,lstm,0.5739015410004673,0.0008044565123696232,0.884900437539066,0.5956521739130435
replay_other_soft,bilstm,0.4655157110243052,0.0006759742141098073,0.8630234842396642,0.8739130434782608
replay_other_soft,gru,0.48874424818671647,0.0008190714411093558,0.8869541923386016,0.6869565217391305
replay_other_soft,cnn_lstm,0.5730639673333107,0.0006097879708582441,0.8481560853647647,0.7869565217391304
replay_other_soft,tcn,0.18328565223836732,0.003350385927122599,0.9723636038932048,0.44782608695652176
replay_other_soft,transformer,0.389316903294937,0.00141273085074175,0.9344584337887312,0.5
takeover_step,cnn,0.0,inf,1.0,1.0
takeover_step,lstm,0.0,inf,1.0,0.9956521739130435
takeover_step,bilstm,0.0,inf,1.0,0.9956521739130435
takeover_step,gru,0.04352484264095353,0.006382051282051282,0.9854917191196821,0.9956521739130435
takeover_step,cnn_lstm,0.0,inf,1.0,0.9956521739130435
takeover_step,tcn,0.0,inf,1.0,0.9826086956521739
takeover_step,transformer,0.0,inf,1.0,0.6086956521739131
takeover_ramp,cnn,0.002426551198555276,0.11491830065359478,0.9991942746101711,0.9861751152073732
takeover_ramp,lstm,0.0014216661927779358,0.1953888888888889,0.999526111269074,1.0
takeover_ramp,bilstm,0.002701165766278078,0.10283625730994152,0.9990996114112406,0.9953917050691244
takeover_ramp,gru,0.0,inf,1.0,1.0
takeover_ramp,cnn_lstm,0.0,inf,1.0,0.9953917050691244
takeover_ramp,tcn,0.0,inf,1.0,0.9861751152073732
takeover_ramp,transformer,0.002257093406943621,0.13024074074074074,0.9992890658325039,0.9354838709677419
