model,attack_id,flight_id,attack_type,t_attack,t_first_window,delay,detected
cnn,0,2,takeover_ramp,95.8006784666841,1.37,0.0,True
cnn,1,2,takeover_ramp,95.8006784666841,1.57,0.0,True
cnn,2,2,takeover_ramp,95.8006784666841,5.38,0.0,True
cnn,3,2,takeover_ramp,95.8006784666841,9.24,0.0,True
cnn,4,2,takeover_ramp,95.8006784666841,10.290000000000001,0.0,True
cnn,5,2,takeover_ramp,95.8006784666841,16.31,0.0,True
cnn,6,2,takeover_ramp,95.8006784666841,17.23,0.0,True
cnn,7,2,takeover_ramp,95.8006784666841,21.55,0.0,True
cnn,8,2,takeover_ramp,95.8006784666841,24.44,0.0,True
cnn,9,2,takeover_ramp,95.8006784666841,25.87,0.0,True
cnn,10,2,takeover_ramp,95.8006784666841,29.87,0.0,True
cnn,11,2,takeover_ramp,95.8006784666841,30.68,0.0,True
cnn,12,2,takeover_ramp,95.8006784666841,39.01,0.0,True
cnn,13,2,takeover_ramp,95.8006784666841,43.86,0.0,True
cnn,14,2,takeover_ramp,95.8006784666841,53.88,0.0,True
cnn,15,2,takeover_ramp,95.8006784666841,59.46,0.0,True
cnn,16,2,takeover_ramp,95.8006784666841,61.34,0.0,True
cnn,17,2,takeover_ramp,95.8006784666841,63.84,0.0,True
cnn,18,2,takeover_ramp,95.8006784666841,68.59,0.0,True
cnn,19,76,step,165.52877740850676,4.53,0.0,True
cnn,20,76,step,165.52877740850676,5.92,0.0,True
cnn,21,76,step,165.52877740850676,15.71,0.0,True
cnn,22,76,step,165.52877740850676,33.84,0.0,True
cnn,23,76,step,165.52877740850676,49.26,0.0,True
cnn,24,76,step,165.52877740850676,50.730000000000004,0.0,True
cnn,25,76,step,165.52877740850676,61.6,0.0,True
cnn,26,76,step,165.52877740850676,64.29,0.0,True
cnn,27,76,step,165.52877740850676,65.18,0.0,True
cnn,28,76,step,165.52877740850676,65.73,0.0,True
cnn,29,76,step,165.52877740850676,66.53,0.0,True
cnn,30,77,takeover_ramp,87.63696498999546,29.6,0.0,True
cnn,31,77,takeover_ramp,87.63696498999546,69.42,0.0,True
cnn,32,95,step,58.56240426323088,5.24,0.0,True
cnn,33,95,step,58.56240426323088,6.1000000000000005,0.0,True
cnn,34,95,step,58.56240426323088,7.07,0.0,True
cnn,35,95,step,58.56240426323088,16.43,0.0,True
cnn,36,95,step,58.56240426323088,25.14,0.0,True
cnn,37,95,step,58.56240426323088,35.410000000000004,0.0,True
cnn,38,95,step,58.56240426323088,35.69,0.0,True
cnn,39,95,step,58.56240426323088,39.52,0.0,True
cnn,40,95,step,58.56240426323088,46.03,0.0,True
cnn,41,95,step,58.56240426323088,49.480000000000004,0.0,True
cnn,42,95,step,58.56240426323088,58.71,0.1475957367691194,True
cnn,43,108,step,75.3845071838438,10.540000000000001,0.0,True
cnn,44,108,step,75.3845071838438,50.63,0.0,True
cnn,45,108,step,75.3845071838438,56.64,0.0,True
cnn,46,108,step,75.3845071838438,57.34,0.0,True
cnn,47,108,step,75.3845071838438,62.5,0.0,True
cnn,48,108,step,75.3845071838438,70.18,0.0,True
cnn,49,110,step,84.5364701054331,0.83,0.0,True
cnn,50,110,step,84.5364701054331,6.8100000000000005,0.0,True
cnn,51,110,step,84.5364701054331,10.85,0.0,True
cnn,52,110,step,84.5364701054331,18.26,0.0,True
cnn,53,110,step,84.5364701054331,25.71,0.0,True
cnn,54,110,step,84.5364701054331,28.36,0.0,True
cnn,55,110,step,84.5364701054331,32.980000000000004,0.0,True
cnn,56,110,step,84.5364701054331,34.38,0.0,True
cnn,57,110,step,84.5364701054331,37.75,0.0,True
cnn,58,110,step,84.5364701054331,43.64,0.0,True
cnn,59,110,step,84.5364701054331,61.76,0.0,True
cnn,60,110,step,84.5364701054331,62.81,0.0,True
cnn,61,112,takeover_ramp,123.96392069259976,0.38,0.0,True
cnn,62,112,takeover_ramp,123.96392069259976,32.62,0.0,True
cnn,63,112,takeover_ramp,123.96392069259976,34.2,0.0,True
cnn,64,112,takeover_ramp,123.96392069259976,64.13,0.0,True
cnn,65,114,drift_ramp,23.262408845252608,4.91,0.0,True
cnn,66,114,drift_ramp,23.262408845252608,8.41,0.0,True
cnn,67,114,drift_ramp,23.262408845252608,11.98,0.0,True
cnn,68,114,drift_ramp,23.262408845252608,34.07,10.807591154747392,True
cnn,69,114,drift_ramp,23.262408845252608,37.76,14.49759115474739,True
cnn,70,114,drift_ramp,23.262408845252608,39.480000000000004,16.217591154747396,True
cnn,71,114,drift_ramp,23.262408845252608,43.0,19.737591154747392,True
cnn,72,114,drift_ramp,23.262408845252608,46.04,22.77759115474739,True
cnn,73,114,drift_ramp,23.262408845252608,50.07,26.807591154747392,True
cnn,74,114,drift_ramp,23.262408845252608,54.89,31.627591154747392,True
cnn,75,114,drift_ramp,23.262408845252608,55.88,32.617591154747394,True
cnn,76,114,drift_ramp,23.262408845252608,63.04,39.77759115474739,True
cnn,77,114,drift_ramp,23.262408845252608,67.03,43.76759115474739,True
cnn,78,117,delay,62.23656649358486,2.45,0.0,True
cnn,79,117,delay,62.23656649358486,28.37,0.0,True
cnn,80,117,delay,62.23656649358486,58.160000000000004,0.0,True
cnn,81,117,delay,62.23656649358486,64.1,1.8634335064151344,True
cnn,82,117,delay,62.23656649358486,69.12,6.883433506415145,True
cnn,83,123,delay,158.26730028372296,16.830000000000002,0.0,True
cnn,84,123,delay,158.26730028372296,61.93,,False
cnn,85,131,drift_ramp,182.0752846677721,19.580000000000002,0.0,True
cnn,86,131,drift_ramp,182.0752846677721,22.52,0.0,True
cnn,87,131,drift_ramp,182.0752846677721,24.35,0.0,True
cnn,88,131,drift_ramp,182.0752846677721,30.78,0.0,True
cnn,89,131,drift_ramp,182.0752846677721,37.9,0.0,True
cnn,90,131,drift_ramp,182.0752846677721,44.49,0.0,True
cnn,91,131,drift_ramp,182.0752846677721,50.6,0.0,True
cnn,92,131,drift_ramp,182.0752846677721,57.410000000000004,0.0,True
cnn,93,131,drift_ramp,182.0752846677721,65.4,0.0,True
cnn,94,162,takeover_step,14.91515823592874,2.85,0.0,True
cnn,95,162,takeover_step,14.91515823592874,7.22,0.0,True
cnn,96,162,takeover_step,14.91515823592874,12.5,0.0,True
cnn,97,162,takeover_step,14.91515823592874,21.36,6.44484176407126,True
cnn,98,162,takeover_step,14.91515823592874,23.01,8.094841764071262,True
cnn,99,162,takeover_step,14.91515823592874,23.400000000000002,8.484841764071263,True
cnn,100,162,takeover_step,14.91515823592874,35.39,20.47484176407126,True
cnn,101,162,takeover_step,14.91515823592874,36.29,21.37484176407126,True
cnn,102,162,takeover_step,14.91515823592874,39.78,24.86484176407126,True
cnn,103,162,takeover_step,14.91515823592874,40.1,25.184841764071262,True
cnn,104,162,takeover_step,14.91515823592874,46.480000000000004,31.564841764071264,True
cnn,105,162,takeover_step,14.91515823592874,46.62,31.704841764071258,True
cnn,106,162,takeover_step,14.91515823592874,55.08,40.164841764071255,True
cnn,107,162,takeover_step,14.91515823592874,60.93,46.014841764071264,True
cnn,108,165,drift_sigmoid,147.15736833345036,0.89,0.0,True
cnn,109,165,drift_sigmoid,147.15736833345036,3.19,0.0,True
cnn,110,165,drift_sigmoid,147.15736833345036,28.98,0.0,True
