flight,attacked,attack_type,attack_start_time,attack_params,consistency_mode,reason
1,False,none,,{},,not_selected
3,False,none,,{},,not_selected
4,True,takeover_step,16.76417330206298,"{'offset_profile': 'step', 'M': np.float64(30.0), 'direction_mode': np.str_('random_xy'), 'direction_vector': [-0.8779234855053459, 0.47880095404890816], 'tau_takeover': np.float64(2.0)}",pos_vel,
6,False,none,,{},,not_selected
7,False,none,,{},,not_selected
8,False,none,,{},,not_selected
12,False,none,,{},,not_selected
14,True,delay,67.28518816063989,"{'delay_seconds': np.float64(5.0), 'source_time_clamped_count': 0}",pos_vel_acc,
16,False,none,,{},,not_selected
60,False,none,,{},,not_selected
79,True,step,22.757102299062225,"{'magnitude': np.float64(15.0), 'direction_mode': 'random_xy', 'direction_vector': [-0.590767921159873, 0.8068415354506993], 'attack_duration': 5.0, 'time_constant': 1.0}",pos_vel_acc,
80,False,none,,{},,not_selected
81,False,none,,{},,not_selected
83,False,none,,{},,not_selected
84,False,none,,{},,not_selected
85,False,none,,{},,not_selected
86,False,none,,{},,not_selected
87,False,none,,{},,not_selected
88,False,none,,{},,not_selected
91,False,none,,{},,not_selected
97,False,none,,{},,not_selected
99,False,none,,{},,not_selected
101,False,none,,{},,not_selected
102,True,takeover_ramp,99.47264520728348,"{'offset_profile': 'ramp', 'M': np.float64(30.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.9977596222365608, -0.06690094344891738], 'tau_takeover': np.float64(0.5), 'T_takeover': np.float64(1.0), 'T_takeover_clipped': False}",pos_vel,
107,False,none,,{},,not_selected
109,False,none,,{},,not_selected
111,False,none,,{},,not_selected
114,False,none,,{},,not_selected
115,False,none,,{},,not_selected
116,False,none,,{},,not_selected
118,True,drift_ramp,102.00808970142432,"{'profile': 'ramp', 'T_drift': np.float64(20.0), 'T_drift_clipped': False, 'M': np.float64(15.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.9995363772703064, 0.030447175786133863]}",pos_vel_acc,
119,True,delay,157.710232144243,"{'delay_seconds': np.float64(3.0), 'source_time_clamped_count': 0}",pos_vel_acc,
120,False,none,,{},,not_selected
121,True,delay,90.13802809054529,"{'delay_seconds': np.float64(1.0), 'source_time_clamped_count': 0}",pos_vel_acc,
122,False,none,,{},,not_selected
123,False,none,,{},,not_selected
125,False,none,,{},,not_selected
126,False,none,,{},,not_selected
127,False,none,,{},,not_selected
129,True,drift_ramp,92.78951472288587,"{'profile': 'ramp', 'T_drift': np.float64(5.0), 'T_drift_clipped': False, 'M': np.float64(15.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.6074260857125415, 0.794376202057904]}",pos_vel_acc,
130,False,none,,{},,not_selected
131,False,none,,{},,not_selected
134,False,none,,{},,not_selected
135,False,none,,{},,not_selected
138,False,none,,{},,not_selected
139,False,none,,{},,not_selected
140,False,none,,{},,not_selected
141,False,none,,{},,not_selected
142,False,none,,{},,not_selected
143,True,drift_sigmoid,57.98221019382773,"{'profile': 'sigmoid', 'T_drift': np.float64(20.0), 'T_drift_clipped': False, 'M': np.float64(5.0), 'direction_mode': np.str_('cross_track_xy'), 'direction_vector': [-0.9998651403341295, -0.016422580327444692]}",pos_vel_acc,
144,False,none,,{},,not_selected
145,False,none,,{},,not_selected
146,False,none,,{},,not_selected
148,False,none,,{},,not_selected
150,True,delay,116.13979204945252,"{'delay_seconds': np.float64(1.0), 'source_time_clamped_count': 0}",pos_vel_acc,
152,False,none,,{},,not_selected
154,False,none,,{},,not_selected
156,False,none,,{},,not_selected
158,False,none,,{},,not_selected
159,False,none,,{},,not_selected
163,False,none,,{},,not_selected
164,False,none,,{},,not_selected
167,False,none,,{},,not_selected
169,True,takeover_ramp,86.98132209913302,"{'offset_profile': 'ramp', 'M': np.float64(5.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [-0.028388440179690926, 0.9995969670142882], 'tau_takeover': np.float64(2.0), 'T_takeover': np.float64(2.0), 'T_takeover_clipped': False}",pos_vel,
170,False,none,,{},,not_selected
171,True,drift_sigmoid,37.68463652660358,"{'profile': 'sigmoid', 'T_drift': np.float64(5.0), 'T_drift_clipped': False, 'M': np.float64(15.0), 'direction_mode': np.str_('fixed_north'), 'direction_vector': [0.0, 1.0]}",pos_vel_acc,
172,True,drift_sigmoid,117.9699003099575,"{'profile': 'sigmoid', 'T_drift': np.float64(10.0), 'T_drift_clipped': False, 'M': np.float64(15.0), 'direction_mode': np.str_('along_track_xy'), 'direction_vector': [0.018544543913101, 0.9998280351595743]}",pos_vel_acc,
173,False,none,,{},,not_selected
174,False,none,,{},,not_selected
176,False,none,,{},,not_selected
181,False,none,,{},,not_selected
183,False,none,,{},,not_selected
