flight_id,attack_type,dataset
1,none,train
3,none,train
4,takeover_step,train
6,none,train
7,none,train
8,none,train
12,none,train
14,delay,train
16,none,train
60,none,train
79,step,train
80,none,train
81,none,train
83,none,train
84,none,train
85,none,train
86,none,train
87,none,train
88,none,train
91,none,train
97,none,train
99,none,train
101,none,train
102,takeover_ramp,train
107,none,train
109,none,train
111,none,train
114,none,train
115,none,train
116,none,train
118,drift_ramp,train
119,delay,train
120,none,train
121,delay,train
122,none,train
123,none,train
125,none,train
126,none,train
127,none,train
129,drift_ramp,train
130,none,train
131,none,train
134,none,train
135,none,train
138,none,train
139,none,train
140,none,train
141,none,train
142,none,train
143,drift_sigmoid,train
144,none,train
145,none,train
146,none,train
148,none,train
150,delay,train
152,none,train
154,none,train
156,none,train
158,none,train
159,none,train
163,none,train
164,none,train
167,none,train
169,takeover_ramp,train
170,none,train
171,drift_sigmoid,train
172,drift_sigmoid,train
173,none,train
174,none,train
176,none,train
181,none,train
183,none,train
186,drift_ramp,train
188,none,train
191,none,train
192,none,train
194,takeover_ramp,train
195,delay,train
196,drift_ramp,train
198,none,train
199,none,train
200,step,train
201,none,train
202,none,train
203,none,train
204,none,train
207,drift_sigmoid,train
208,none,train
210,none,train
211,none,train
218,none,train
219,none,train
222,none,train
226,none,train
227,none,train
228,none,train
229,none,train
232,step,train
233,none,train
234,none,train
236,none,train
237,delay,train
238,none,train
240,none,train
241,none,train
242,none,train
247,none,train
248,none,train
249,none,train
250,step,train
251,none,train
258,none,train
260,none,train
261,none,train
263,none,train
267,none,train
268,none,train
275,none,train
279,step,train
280,none,train
281,drift_ramp,train
282,none,train
283,none,train
284,none,train
285,none,train
286,none,train
289,none,train
291,none,train
292,none,train
294,none,train
295,none,train
297,none,train
298,none,train
299,drift_ramp,train
302,none,train
303,none,train
304,none,train
305,none,train
306,none,train
308,none,train
309,none,train
310,none,train
311,none,train
313,none,train
314,none,train
315,none,train
318,none,train
319,none,train
320,step,train
321,none,train
322,none,train
325,none,train
327,none,train
329,none,train
330,none,train
331,takeover_ramp,train
332,none,train
335,none,train
336,takeover_ramp,train
337,none,train
341,none,train
343,none,train
344,none,train
345,none,train
346,takeover_step,train
348,step,train
349,none,train
351,none,train
352,none,train
356,none,train
357,none,train
360,none,train
361,none,train
362,none,train
363,takeover_step,train
365,none,train
367,none,train
368,none,train
369,none,train
370,none,train
371,none,train
373,none,train
374,none,train
376,none,train
377,none,train
378,none,train
379,none,train
380,none,train
381,none,train
382,none,train
383,none,train
385,none,train
387,none,train
389,none,train
390,none,train
392,none,train
394,drift_ramp,train
396,none,train
397,none,train
398,takeover_step,train
399,none,train
400,none,train
402,none,train
403,none,train
404,none,train
405,none,train
407,none,train
409,none,train
410,step,train
413,none,train
415,none,train
417,delay,train
418,takeover_step,train
421,takeover_step,train
422,none,train
423,drift_sigmoid,train
425,none,train
426,none,train
428,none,train
429,none,train
430,delay,train
431,none,train
432,none,train
433,none,train
434,none,train
436,none,train
437,none,train
438,none,train
439,none,train
441,none,train
442,none,train
444,delay,train
446,none,train
447,none,train
448,none,train
451,none,train
452,none,train
453,none,train
454,none,train
457,none,train
459,none,train
460,none,train
461,none,train
464,none,train
465,none,train
466,none,train
469,none,train
475,delay,train
476,none,train
479,none,train
480,drift_ramp,train
481,none,train
482,none,train
483,none,train
484,drift_sigmoid,train
485,none,train
486,none,train
490,none,train
491,none,train
492,none,train
493,none,train
494,none,train
495,none,train
496,none,train
498,drift_ramp,train
499,none,train
500,none,train
501,none,train
503,none,train
504,none,train
506,none,train
507,none,train
509,none,train
510,none,train
511,none,train
513,takeover_step,train
515,none,train
516,none,train
518,none,train
519,none,train
520,none,train
521,delay,train
522,none,train
524,none,train
525,none,train
527,none,train
528,none,train
529,none,train
531,none,train
532,none,train
533,none,train
535,drift_ramp,train
536,none,train
538,none,train
539,delay,train
542,none,train
546,none,train
548,none,train
549,none,train
550,none,train
552,delay,train
553,none,train
554,takeover_ramp,train
556,none,train
557,none,train
561,none,train
562,none,train
564,none,train
565,none,train
566,none,train
568,none,train
570,none,train
572,none,train
574,none,train
575,none,train
577,none,train
578,none,train
584,none,train
585,none,train
587,takeover_ramp,train
589,none,train
590,none,train
593,none,train
594,none,train
596,none,train
597,none,train
598,none,train
599,none,train
600,none,train
601,takeover_ramp,train
602,none,train
603,none,train
604,none,train
605,none,train
606,none,train
607,none,train
609,none,train
610,none,train
612,none,train
613,none,train
614,none,train
616,none,train
618,drift_ramp,train
619,none,train
620,drift_sigmoid,train
622,none,train
623,none,train
624,none,train
625,none,train
628,none,train
629,none,train
631,drift_ramp,train
632,none,train
637,none,train
638,none,train
639,none,train
641,delay,train
643,none,train
644,none,train
646,none,train
649,takeover_ramp,train
650,step,train
652,none,train
653,takeover_step,train
654,none,train
655,none,train
656,none,train
658,none,train
659,takeover_step,train
660,none,train
661,none,train
662,none,train
664,none,train
665,none,train
666,none,train
667,takeover_ramp,train
668,none,train
669,none,train
670,none,train
673,none,train
676,delay,train
680,none,train
681,none,train
684,none,train
685,none,train
686,none,train
688,none,train
689,none,train
691,none,train
692,none,train
693,none,train
695,none,train
697,none,train
699,none,train
700,takeover_ramp,train
701,none,train
702,takeover_step,train
705,none,train
707,none,train
714,none,train
715,none,train
720,none,train
721,none,train
722,none,train
723,drift_ramp,train
725,none,train
728,none,train
731,drift_sigmoid,train
732,none,train
736,none,train
737,none,train
738,none,train
739,none,train
741,none,train
742,none,train
743,none,train
744,none,train
746,none,train
747,none,train
748,none,train
749,takeover_step,train
750,none,train
751,none,train
753,none,train
759,none,train
763,drift_ramp,train
764,none,train
765,none,train
766,none,train
771,takeover_step,train
772,takeover_step,train
775,none,train
776,none,train
777,none,train
778,takeover_ramp,train
779,none,train
781,none,train
782,none,train
783,none,train
784,none,train
785,none,train
786,none,train
787,none,train
788,drift_sigmoid,train
789,none,train
791,none,train
792,step,train
793,none,train
794,none,train
795,none,train
798,none,train
799,none,train
801,none,train
802,none,train
803,none,train
806,none,train
807,none,train
808,none,train
809,none,train
810,none,train
812,none,train
814,none,train
816,takeover_ramp,train
817,none,train
823,drift_sigmoid,train
825,none,train
826,none,train
827,none,train
830,none,train
831,none,train
833,takeover_ramp,train
835,none,train
836,none,train
838,drift_sigmoid,train
841,none,train
842,none,train
843,none,train
845,delay,train
848,takeover_ramp,train
849,none,train
851,none,train
852,none,train
854,step,train
856,none,train
858,none,train
859,none,train
864,drift_sigmoid,train
867,none,train
869,none,train
873,none,train
874,none,train
877,none,train
878,none,train
880,none,train
882,drift_sigmoid,train
883,none,train
884,none,train
885,none,train
887,none,train
889,none,train
891,none,train
894,none,train
896,none,train
897,none,train
903,none,train
905,none,train
907,none,train
909,none,train
910,none,train
912,none,train
913,none,train
914,none,train
915,none,train
916,none,train
917,none,train
918,none,train
920,none,train
921,none,train
922,none,train
923,none,train
926,none,train
928,none,train
929,none,train
932,none,train
935,none,train
936,none,train
938,none,train
940,none,train
943,none,train
944,none,train
946,takeover_step,train
950,step,train
952,none,train
955,none,train
956,none,train
957,none,train
958,none,train
959,none,train
961,none,train
963,none,train
964,none,train
965,none,train
966,none,train
969,none,train
970,none,train
971,none,train
972,none,train
974,none,train
975,none,train
976,none,train
977,none,train
978,none,train
980,none,train
981,none,train
982,none,train
983,none,train
985,none,train
987,none,train
988,none,train
989,step,train
990,none,train
992,none,train
993,none,train
994,none,train
995,none,train
996,none,train
997,none,train
1001,takeover_ramp,train
1002,none,train
1004,none,train
1007,none,train
1008,none,train
1009,drift_sigmoid,train
1010,none,train
1011,none,train
1014,none,train
1015,none,train
1016,none,train
1017,none,train
1018,step,train
1019,none,train
1020,none,train
1023,none,train
1032,none,train
1033,step,train
1034,none,train
1036,none,train
1037,none,train
1040,none,train
1041,none,train
1042,none,train
1045,drift_ramp,train
1048,none,train
1049,none,train
1050,none,train
1051,none,train
1054,none,train
1055,none,train
1056,none,train
1058,delay,train
1060,none,train
1061,none,train
1063,none,train
1064,none,train
1065,none,train
1068,none,train
1069,none,train
1071,none,train
1072,none,train
1074,drift_ramp,train
1075,none,train
1076,none,train
1077,none,train
1078,takeover_ramp,train
1079,none,train
1080,none,train
1082,none,train
1084,none,train
1086,none,train
1089,none,train
1090,none,train
1094,takeover_step,train
1095,none,train
1097,none,train
1100,drift_sigmoid,train
1102,none,train
1103,none,train
1104,none,train
1105,none,train
1106,none,train
1107,none,train
1112,none,train
1113,none,train
1116,none,train
1117,none,train
1119,none,train
1120,none,train
1123,none,train
1124,none,train
1125,none,train
1129,none,train
1131,none,train
1132,none,train
1138,step,train
1139,none,train
1140,none,train
1141,none,train
1143,none,train
1144,none,train
1145,none,train
1146,none,train
1149,none,train
1150,takeover_ramp,train
1151,none,train
1152,none,train
1154,none,train
1155,none,train
1158,drift_sigmoid,train
1159,none,train
1161,none,train
1163,none,train
1164,none,train
1168,none,train
1169,none,train
1170,none,train
1171,none,train
1174,none,train
1176,none,train
1177,none,train
1178,none,train
1183,none,train
1184,none,train
1185,none,train
1186,none,train
1188,none,train
1189,none,train
1191,takeover_step,train
1192,none,train
1193,none,train
1195,none,train
1199,none,train
1202,none,train
1203,none,train
1205,none,train
1206,none,train
1209,none,train
1210,none,train
1211,delay,train
1213,none,train
1214,none,train
1217,none,train
1218,none,train
1221,none,train
1222,none,train
1224,none,train
1227,step,train
1230,none,train
1232,none,train
1234,delay,train
1235,none,train
1236,none,train
1237,none,train
1238,step,train
1239,none,train
1240,none,train
1241,none,train
1245,none,train
1247,none,train
1252,none,train
1253,none,train
1257,none,train
1259,none,train
1260,none,train
1262,none,train
1263,none,train
1267,none,train
1268,none,train
1269,none,train
1272,drift_ramp,train
1273,drift_ramp,train
1275,none,train
1276,none,train
1277,none,train
1278,none,train
1279,none,train
1280,none,train
1282,none,train
1283,none,train
1284,none,train
1285,none,train
1287,none,train
1288,none,train
1290,none,train
1291,none,train
1296,none,train
1299,drift_sigmoid,train
1300,none,train
1304,none,train
1307,step,train
1310,takeover_step,train
1311,none,train
1312,none,train
1314,none,train
1315,none,train
1316,drift_sigmoid,train
1317,none,train
1318,none,train
1319,drift_ramp,train
